可萊絲,盤胎素活膚保濕導入面膜  (10piece),HK$59.0
A.H.C,B5 高效水合凝膠精華禮品套裝 (3piece),HK$198.0
Cremorlab,T.E.N.礦物保濕水分凝膠 (100ml),HK$280.0
植村秀,全能奇蹟金萃潔顏油   (50ml),HK$68.0
DOUBLE & ZERO,膠原蛋白彈力面膜 (附送喚膚滾珠美顏棒) (10piece),HK$108.0
GEKKA,毛孔修復睡眠面膜   (80g),HK$133.0
資生堂,豪華級嘉美艷容露 (150ml),HK$45.0
A BY BOM,超能嬰兒冰凝葉清潤補水面膜 (10piece),HK$90.0
瑞士葆麗美,白金緩紋雅緻護理套裝 (6piece),HK$2450.0
Albion,健康面膜 E (8piece),HK$240.0
資生堂,新艷陽．夏水離子高效防曬露 SPF50+ / PA++++ (50ml),HK$290.0
sasatinnie,熊果素亮白泡泡黑面膜 (5piece),HK$108.0
AJUSTE,Ajuste防UV全身噴霧 SPF 50+ PA++++ (微香)  (200g),HK$78.0
L'AFFAIR,彩虹三部曲面膜 (膠原蛋白)  (10piece),HK$60.0
可萊絲,珍珠蛋白膠原氨基酸亮白面膜 (10piece),HK$59.0
悅詩風吟,濟洲綠茶籽精華套裝 (130ml),HK$138.0
Kose Cosmeport,Clear Turn深層修護緊緻眼膜 (32pair(s)),HK$59.0
雅詩蘭黛,迷你護膚套裝 F (6piece),HK$299.0
素貝兒,B5 保濕鎖水屏障精華 (30ml),HK$148.0
可萊絲,APE乳清蛋白面膜 (10piece),HK$69.0
蘭金,全方位瞬白亮肌套裝A (5piece),HK$299.0
